country,violence,age,age_first,duration,urban,edu,n_children,employ_paid,own_house,own_land,att_wb,fam_ipv,part_age,part_edu,alcohol,wealth_idx,telephone_yes
PK,1,35,17.0,17.0,0,10,1,0,0,0,0,0,44.0,8.0,0,0,0
PK,1,37,19.0,18.0,0,0,1,0,0,0,1,0,45.0,5.0,0,1,0
PK,1,32,20.0,11.0,0,0,0,0,0,0,1,0,43.0,10.0,0,0,0
PK,1,35,23.0,11.0,0,14,1,1,0,0,1,0,45.0,0.0,0,1,0
PK,0,49,24.0,25.0,0,5,0,0,0,0,0,1,50.0,0.0,0,0,0
PK,0,25,20.0,5.0,0,14,2,0,0,0,1,0,31.0,10.0,0,1,0
PK,0,21,18.0,2.0,0,12,2,0,0,0,1,0,27.0,10.0,0,0,0
PK,0,25,18.0,7.0,0,0,3,0,0,0,1,0,29.0,10.0,0,0,0
PK,1,31,15.0,15.0,1,0,2,0,0,0,1,0,32.0,10.0,0,2,0
PK,0,38,18.0,20.0,1,5,0,0,0,0,1,0,43.0,14.0,0,3,0
PK,1,47,17.0,30.0,1,0,0,0,0,0,1,0,50.0,12.0,0,3,0
PK,0,36,21.0,14.0,1,16,1,0,0,0,1,0,38.0,10.0,0,2,0
PK,1,41,16.0,24.0,1,0,0,0,0,0,1,1,53.0,8.0,0,1,0
PK,0,15,14.0,1.0,1,9,0,0,0,0,1,0,17.0,10.0,0,2,0
PK,1,29,20.0,8.0,1,16,2,0,0,0,0,0,43.0,16.0,0,3,0
PK,1,43,20.0,22.0,1,12,0,0,0,0,0,1,47.0,4.0,0,1,0
PK,0,48,25.0,22.0,1,0,0,0,0,0,1,0,53.0,0.0,0,1,0
PK,1,33,17.0,16.0,0,0,2,0,0,0,1,1,41.0,8.0,0,0,0
PK,1,27,17.0,9.0,0,0,2,0,0,0,1,1,39.0,9.0,0,1,0
PK,1,18,16.0,1.0,0,4,0,0,0,0,1,0,28.0,16.0,0,2,0
PK,0,20,18.0,2.0,0,0,1,0,0,0,1,0,22.0,10.0,0,1,0
PK,1,28,18.0,9.0,0,0,1,0,0,0,0,1,36.0,2.0,0,1,0
PK,1,24,18.0,6.0,0,0,2,0,0,0,0,0,29.0,0.0,0,0,0
PK,1,28,19.0,8.0,0,0,2,0,0,0,1,0,31.0,0.0,0,1,0
PK,1,41,19.0,22.0,0,0,0,0,0,0,1,1,46.0,10.0,0,0,0
PK,0,27,18.0,9.0,0,0,1,0,0,0,0,1,30.0,0.0,0,1,0
PK,1,40,15.0,24.0,0,0,0,0,0,0,1,0,47.0,0.0,0,0,0
PK,1,42,17.0,24.0,0,0,0,0,0,0,1,0,48.0,0.0,0,0,0
PK,1,40,19.0,20.0,0,0,1,0,0,0,1,1,43.0,0.0,0,0,0
PK,1,23,14.0,9.0,0,0,2,0,0,0,1,0,30.0,0.0,0,0,0
PK,0,43,19.0,24.0,0,0,3,0,0,0,1,0,54.0,0.0,0,0,0
PK,1,19,18.0,1.0,0,0,0,0,0,0,1,1,36.0,0.0,0,0,0
PK,0,19,19.0,0.0,0,0,2,0,0,0,0,0,26.0,7.0,0,0,0
PK,1,28,13.0,15.0,0,0,2,0,0,0,1,1,39.0,4.0,0,0,0
PK,0,22,19.0,2.0,0,0,0,0,0,0,0,1,31.0,9.0,0,2,0
PK,0,19,15.0,4.0,0,4,3,0,0,0,1,0,26.0,14.0,0,1,0
PK,1,34,29.0,4.0,0,0,2,0,0,0,1,0,60.0,0.0,0,2,0
PK,1,37,20.0,17.0,0,0,2,0,0,0,0,1,45.0,0.0,0,1,0
PK,1,25,18.0,7.0,0,0,2,0,0,0,1,1,29.0,8.0,0,3,1
PK,0,31,19.0,12.0,0,6,2,0,0,0,1,0,36.0,12.0,0,4,1
PK,1,25,20.0,5.0,0,3,1,0,0,0,0,0,30.0,5.0,0,1,0
PK,1,31,15.0,16.0,0,0,0,0,0,0,1,0,40.0,0.0,0,0,0
PK,1,26,16.0,9.0,0,0,2,0,0,0,1,1,30.0,0.0,0,0,0
PK,1,25,13.0,11.0,0,0,2,0,0,0,1,1,30.0,0.0,0,0,0
PK,1,25,14.0,10.0,0,0,2,0,0,0,1,1,43.0,0.0,0,0,0
PK,0,17,15.0,2.0,0,0,0,0,0,0,0,1,23.0,6.0,0,0,0
PK,1,28,17.0,10.0,0,0,0,0,0,0,1,1,33.0,0.0,0,0,0
PK,1,20,18.0,2.0,0,0,1,0,0,0,1,0,25.0,0.0,0,0,0
PK,0,16,16.0,0.0,0,0,0,0,0,0,0,0,20.0,0.0,0,1,0
PK,1,31,19.0,12.0,0,13,2,0,0,0,1,0,34.0,10.0,0,2,0
