v101,v025,d104,d106,d107,d108,d113,d121,d122a,d122b,v044,v133,v137,v153,v190,v501,v502,v511,v512,v730,v731,v741,v012,v745a,v745b,v746,v715,v744a,v744b,v744c,v744d,v744e
province 1,urban,no,no,no,no,no,no,no,no,woman selected and interviewed,2,0,no,middle,married,currently in union/living with a man,14,33,54,currently working,not paid,47,does not own,does not own,,4,no,no,no,no,no
province 1,urban,no,no,no,no,no,no,no,no,woman selected and interviewed,10,1,no,middle,married,currently in union/living with a man,19,9,36,currently working,not paid,28,does not own,does not own,,11,no,no,no,no,no
province 1,urban,,,,,,no,no,no,woman selected and interviewed,10,0,no,poorer,never in union,never in union,,,,no,,20,does not own,does not own,,,no,yes,no,no,no
province 1,urban,no,no,no,no,no,no,no,no,woman selected and interviewed,4,0,no,poorer,married,currently in union/living with a man,21,17,44,currently working,not paid,38,does not own,does not own,,11,no,no,no,no,no
province 1,urban,no,no,no,no,no,no,no,no,woman selected and interviewed,0,0,no,poorest,married,currently in union/living with a man,18,20,44,currently working,not paid,38,does not own,does not own,,10,no,no,no,no,no
province 1,urban,no,no,no,no,no,no,no,no,woman selected and interviewed,11,1,no,middle,married,currently in union/living with a man,23,6,28,currently working,cash only,29,does not own,does not own,husband/partner doesn't bring in money,8,no,yes,yes,no,no
province 1,urban,no,no,no,no,no,no,no,no,woman selected and interviewed,5,1,no,poorer,married,currently in union/living with a man,13,10,32,currently working,not paid,23,does not own,does not own,,6,no,no,no,no,no
province 1,urban,no,yes,no,no,yes,no,no,no,woman selected and interviewed,0,0,no,poorest,married,currently in union/living with a man,21,16,33,in the past year,not paid,37,does not own,does not own,,9,no,no,no,no,no
province 1,urban,no,no,no,no,no,no,no,no,woman selected and interviewed,4,1,no,poorest,married,currently in union/living with a man,17,18,49,currently working,not paid,36,does not own,does not own,,10,no,no,no,no,no
province 1,urban,no,no,no,no,no,yes,no,no,woman selected and interviewed,9,1,no,poorer,married,currently in union/living with a man,20,4,28,currently working,not paid,24,does not own,does not own,,8,no,yes,yes,no,no
province 1,urban,no,no,no,no,no,no,no,no,woman selected and interviewed,3,2,no,poorest,married,currently in union/living with a man,20,5,23,currently working,not paid,26,does not own,does not own,,5,no,no,no,no,no
province 1,urban,no,no,no,no,no,no,no,no,woman selected and interviewed,9,1,no,middle,married,currently in union/living with a man,15,8,28,currently working,not paid,23,does not own,does not own,,11,no,no,no,no,no
province 1,urban,yes,yes,yes,yes,yes,no,no,no,woman selected and interviewed,0,2,no,poorer,married,currently in union/living with a man,17,6,30,currently working,cash only,23,does not own,does not own,less than him,5,no,yes,no,no,no
province 1,urban,yes,yes,yes,no,yes,no,no,no,woman selected and interviewed,0,0,no,middle,married,currently in union/living with a man,16,17,41,currently working,cash only,34,does not own,does not own,less than him,4,no,no,no,no,no
province 1,urban,yes,yes,yes,yes,yes,no,no,no,woman selected and interviewed,0,0,no,middle,married,currently in union/living with a man,14,16,40,currently working,cash only,30,does not own,does not own,less than him,5,no,no,no,no,no
